atlas_label,n_label_voxels,label_volume [mm³],n_lesion_voxels,lesion_volume [mm³],lesion_volume [percent]
Left CerebrumMiddle Temporal Gyrus,235,235,0,0,0
Left CerebrumSuperior Temporal Gyrus,768,768,0,0,0
Left CerebrumSuperior Temporal GyrusGray MatterBrodmann area 38,595,595,0,0,0
Left CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 11,2301,2301,0,0,0
Right CerebrumOrbital GyrusGray MatterBrodmann area 11,1105,1105,1,1,0.090497737556561
Frontal LobeOrbital Gyrus,1011,1011,0,0,0
Left CerebrumFrontal LobeOrbital Gyrus,838,838,0,0,0
Left CerebrumFrontal Lobe,2032,2032,0,0,0
Inter-Hemispheric,25551,25551,2,2,0.007827482290321
Right CerebrumFrontal Lobe,1698,1698,0,0,0
Right CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 11,2151,2151,0,0,0
Right CerebrumFrontal LobeOrbital Gyrus,12492,12492,0,0,0
Orbital Gyrus,14727,14727,0,0,0
Left CerebrumFrontal LobeOrbital GyrusWhite Matter,12347,12347,0,0,0
Right CerebrumFrontal LobeOrbital GyrusWhite Matter,10927,10927,0,0,0
Left CerebellumPosterior LobeTuber of VermisGray Matter,377,377,0,0,0
Right CerebellumPosterior LobeTuber of VermisGray Matter,7049,7049,0,0,0
Left CerebellumAnterior LobePyramisGray Matter,2064,2064,0,0,0
Right CerebellumAnterior LobePyramisGray Matter,2353,2353,0,0,0
Right CerebellumAnterior LobeGray MatterDentate,8140,8140,0,0,0
Left CerebellumAnterior LobeGray MatterDentate,3203,3203,0,0,0
Left CerebellumPosterior LobeCulmenGray Matter,353,353,0,0,0
Left CerebrumTemporal LobeFusiform Gyrus,2915,2915,0,0,0
Right CerebrumTemporal LobeFusiform Gyrus,1288,1288,0,0,0
Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 20,11779,11779,0,0,0
Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 20,6264,6264,0,0,0
Left CerebrumLimbic LobeParahippocampal Gyrus,3818,3818,0,0,0
Limbic LobeParahippocampal Gyrus,7863,7863,0,0,0
Right CerebrumLimbic LobeParahippocampal Gyrus,5632,5632,0,0,0
Left CerebrumTemporal LobeFusiform GyrusWhite Matter,7911,7911,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 36,1672,1672,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 36,1662,1662,0,0,0
Right CerebrumTemporal LobeFusiform GyrusWhite Matter,6203,6203,0,0,0
Right CerebrumLimbic LobeFusiform Gyrus,2677,2677,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusWhite Matter,8953,8953,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusWhite Matter,12297,12297,0,0,0
Right CerebrumLimbic LobeFusiform GyrusGray MatterBrodmann area 20,3735,3735,0,0,0
Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 36,376,376,0,0,0
Left CerebrumLimbic LobeFusiform GyrusWhite Matter,63,63,0,0,0
Right CerebrumLimbic LobeFusiform GyrusWhite Matter,1228,1228,0,0,0
Fusiform Gyrus,3568,3568,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 35,3994,3994,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 35,2018,2018,0,0,0
Left CerebrumFrontal LobeRectal GyrusGray MatterBrodmann area 11,1601,1601,0,0,0
Left CerebrumFrontal LobeRectal Gyrus,367,367,0,0,0
Right CerebrumFrontal LobeRectal Gyrus,3357,3357,0,0,0
Right CerebrumFrontal LobeRectal GyrusGray MatterBrodmann area 11,5635,5635,0,0,0
Left CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 47,3506,3506,0,0,0
Right CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 47,3446,3446,0,0,0
Left CerebrumFrontal LobeRectal GyrusWhite Matter,4762,4762,0,0,0
Right CerebrumFrontal LobeRectal GyrusWhite Matter,1638,1638,0,0,0
Inter-HemisphericRectal Gyrus,7889,7889,0,0,0
Left CerebrumFrontal LobeSuperior Frontal Gyrus,6232,6232,0,0,0
Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 11,10519,10519,0,0,0
Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 11,21156,21156,0,0,0
Right CerebrumFrontal LobeSuperior Frontal Gyrus,25704,25704,0,0,0
Left CerebrumFrontal LobeSuperior Frontal GyrusWhite Matter,30219,30219,0,0,0
Right CerebrumFrontal LobeSuperior Frontal GyrusWhite Matter,31155,31155,0,0,0
Left CerebellumPosterior LobeDecliveGray Matter,23844,23844,0,0,0
Right CerebellumPosterior LobeDecliveGray Matter,18667,18667,0,0,0
Left CerebellumPosterior LobeDeclive of VermisGray Matter,2894,2894,0,0,0
Right CerebellumPosterior LobeDeclive of VermisGray Matter,3220,3220,0,0,0
Left CerebellumPosterior LobeGray MatterDentate,6461,6461,0,0,0
Left CerebellumPosterior LobeFastigiumGray Matter,6744,6744,0,0,0
Right CerebellumAnterior LobeFastigiumGray Matter,1637,1637,0,0,0
Right CerebellumPosterior LobeGray MatterDentate,319,319,0,0,0
Left CerebellumAnterior LobeFastigiumGray Matter,582,582,0,0,0
Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 36,1179,1179,0,0,0
Right CerebrumFusiform GyrusGray MatterBrodmann area 20,4626,4626,0,0,0
Temporal LobeFusiform Gyrus,4332,4332,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 28,1538,1538,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 28,8906,8906,0,0,0
Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 20,8306,8306,0,0,0
Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 20,560,560,0,0,0
Left CerebrumSub-lobarLateral VentricleCerebro-Spinal Fluid,30837,30837,0,0,0
Right CerebrumSub-lobarLateral VentricleCerebro-Spinal Fluid,14849,14849,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterHippocampus,21007,21007,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterHippocampus,4862,4862,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 34,3501,3501,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 34,3197,3197,0,0,0
Left CerebrumLimbic LobeUncusGray MatterBrodmann area 34,579,579,0,0,0
Right CerebrumLimbic LobeUncusGray MatterBrodmann area 34,3847,3847,0,0,0
Left CerebrumLimbic LobeUncusGray MatterAmygdala,3186,3186,0,0,0
Right CerebrumLimbic LobeUncusGray MatterAmygdala,314,314,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterAmygdala,10426,10426,0,0,0
Inferior Frontal Gyrus,684,684,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 47,18824,18824,0,0,0
Left CerebrumFrontal LobeInferior Frontal Gyrus,11227,11227,0,0,0
Right CerebrumFrontal LobeInferior Frontal Gyrus,5769,5769,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 47,13473,13473,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusWhite Matter,19539,19539,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusWhite Matter,24367,24367,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 11,10132,10132,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 11,4796,4796,0,0,0
Left CerebrumFrontal LobeSub-GyralWhite Matter,54252,54252,0,0,0
Right CerebrumFrontal LobeSub-GyralWhite Matter,54729,54729,0,0,0
Left CerebrumFrontal LobeMiddle Frontal GyrusWhite Matter,33704,33704,0,0,0
Right CerebrumFrontal LobeMiddle Frontal GyrusWhite Matter,34595,34595,0,0,0
Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 11,5527,5527,0,0,0
Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 11,4202,4202,0,0,0
Right CerebrumFrontal LobeMiddle Frontal Gyrus,7955,7955,0,0,0
Right CerebrumOrbital Gyrus,9928,9928,0,0,0
Right CerebrumSuperior Frontal Gyrus,790,790,0,0,0
Left CerebrumOccipital LobeFusiform Gyrus,2130,2130,0,0,0
Left CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 18,573,573,0,0,0
Right CerebrumOccipital LobeFusiform Gyrus,10471,10471,0,0,0
Right CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 18,1289,1289,5,5,0.387897595034911
Left CerebrumOccipital LobeFusiform GyrusWhite Matter,2580,2580,0,0,0
Right CerebrumOccipital LobeFusiform GyrusWhite Matter,2755,2755,0,0,0
Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 37,4871,4871,0,0,0
Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 37,4354,4354,0,0,0
Right CerebrumFusiform Gyrus,129,129,0,0,0
Left CerebellumAnterior LobeCerebellar LingualGray Matter,853,853,0,0,0
Right CerebellumAnterior LobeCerebellar LingualGray Matter,1053,1053,0,0,0
Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 37,2380,2380,0,0,0
Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 37,2409,2409,0,0,0
Left BrainstemMidbrain,8689,8689,14,14,0.161123259293359
Right BrainstemMidbrain,8800,8800,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 20,3313,3313,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 20,7540,7540,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterAmygdala,4995,4995,0,0,0
White Matter,3354,3354,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 38,1917,1917,0,0,0
Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 38,5276,5276,0,0,0
Left CerebrumFrontal LobeMedial Frontal Gyrus,3887,3887,0,0,0
Right CerebrumFrontal LobeMedial Frontal Gyrus,4081,4081,0,0,0
Left CerebrumFrontal LobeSuperior Temporal Gyrus,162,162,0,0,0
Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 25,761,761,0,0,0
Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 25,1469,1469,0,0,0
Right CerebrumFrontal LobeSuperior Temporal Gyrus,831,831,0,0,0
Right CerebrumTemporal LobeInferior Frontal Gyrus,11357,11357,0,0,0
Left CerebrumFrontal LobeMedial Frontal GyrusWhite Matter,29103,29103,0,0,0
Right CerebrumFrontal LobeMedial Frontal GyrusWhite Matter,18142,18142,0,0,0
Left CerebrumTemporal LobeInferior Frontal Gyrus,405,405,0,0,0
Left CerebrumFrontal LobeMiddle Frontal Gyrus,5743,5743,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 25,648,648,0,0,0
Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 11,1325,1325,0,0,0
Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 11,2737,2737,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 25,1317,1317,0,0,0
Left CerebrumOccipital LobeLingual Gyrus,2574,2574,0,0,0
Lingual Gyrus,312,312,0,0,0
Occipital Lobe,604,604,0,0,0
Occipital LobeLingual Gyrus,4536,4536,0,0,0
Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 17,1064,1064,0,0,0
Inter-HemisphericOccipital LobeLingual Gyrus,4577,4577,0,0,0
Right CerebrumOccipital LobeLingual Gyrus,2711,2711,0,0,0
Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 17,1891,1891,1,1,0.052882072977261
Left CerebrumOccipital Lobe,1250,1250,0,0,0
Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 18,4531,4531,0,0,0
Right CerebrumOccipital Lobe,1009,1009,2,2,0.198216055500496
Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 18,4080,4080,0,0,0
Left CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 18,2615,2615,0,0,0
Left CerebrumOccipital LobeInferior Occipital Gyrus,1110,1110,0,0,0
Left CerebrumOccipital LobeLingual GyrusWhite Matter,17870,17870,0,0,0
Right CerebrumOccipital LobeLingual GyrusWhite Matter,11587,11587,0,0,0
Right CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 18,11362,11362,0,0,0
Left CerebrumOccipital LobeInferior Occipital GyrusWhite Matter,8619,8619,0,0,0
Right CerebrumOccipital LobeInferior Occipital GyrusWhite Matter,0,0,0,0,0
Right CerebrumOccipital LobeInferior Occipital Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 19,0,0,0,0,0
Inferior Occipital Gyrus,0,0,0,0,0
Left CerebrumInferior Occipital Gyrus,0,0,0,0,0
Right CerebrumInferior Occipital Gyrus,0,0,0,0,0
Right CerebrumOccipital LobeGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumOccipital LobeGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumTemporal LobeGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumTemporal LobeGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumLimbic LobeGray MatterBrodmann area 35,0,0,0,0,0
White MatterOptic Tract,0,0,0,0,0
Gray MatterHypothalamus,0,0,0,0,0
Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 21,0,0,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 21,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal Gyrus,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal Gyrus,0,0,0,0,0
Left CerebrumLimbic LobeSubcallosal GyrusGray MatterBrodmann area 34,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 34,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 25,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 25,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 34,0,0,0,0,0
Right CerebrumLimbic LobeSubcallosal Gyrus,0,0,0,0,0
Right CerebrumLimbic LobeSubcallosal GyrusGray MatterBrodmann area 34,0,0,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 21,0,0,0,0,0
Left CerebrumTemporal LobeSubcallosal GyrusGray MatterBrodmann area 34,0,0,0,0,0
Left CerebrumTemporal LobeInferior Frontal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumTemporal LobeInferior Frontal GyrusWhite Matter,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal GyrusWhite Matter,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal GyrusWhite Matter,0,0,0,0,0
Right CerebrumTemporal LobeInferior Frontal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumTemporal LobeInferior Frontal GyrusWhite Matter,0,0,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 47,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 11,0,0,0,0,0
Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 11,0,0,0,0,0
Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 17,0,0,0,0,0
Right CerebrumGray MatterBrodmann area 18,0,0,0,0,0
Right CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 17,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 18,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 18,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Occipital GyrusWhite Matter,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Occipital GyrusWhite Matter,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Occipital Gyrus,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Occipital Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeSub-Gyral,0,0,0,0,0
Right CerebrumSub-Gyral,0,0,0,0,0
Right CerebrumOccipital LobeSub-Gyral,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 19,0,0,0,0,0
Middle Occipital Gyrus,0,0,0,0,0
Right CerebrumLingual Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeSub-GyralWhite Matter,0,0,0,0,0
Right CerebrumOccipital LobeSub-GyralWhite Matter,0,0,0,0,0
Left CerebellumAnterior LobeCulmen of VermisGray Matter,0,0,0,0,0
Right CerebellumAnterior LobeCulmen of VermisGray Matter,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumOccipital LobeInferior Temporal Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeInferior Temporal GyrusWhite Matter,0,0,0,0,0
Right CerebrumOccipital LobeInferior Temporal GyrusWhite Matter,0,0,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumOccipital LobeParahippocampal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumLimbic LobeFusiform GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumLimbic LobeSub-Gyral,0,0,0,0,0
Left CerebrumLimbic LobeSub-Gyral,0,0,0,0,0
Left CerebrumTemporal LobeSub-GyralGray MatterHippocampus,0,0,0,0,0
Right CerebrumTemporal LobeSub-GyralGray MatterHippocampus,0,0,0,0,0
Left CerebrumLimbic LobeSub-GyralGray MatterHippocampus,0,0,0,0,0
Right CerebrumLimbic LobeSub-GyralGray MatterHippocampus,0,0,0,0,0
Left BrainstemMidbrainGray MatterSubstania Nigra,0,0,0,0,0
