"Index","Description"
79,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 21"
80,"Left CerebellumPosterior LobeTuberGray Matter"
81,"Right CerebellumPosterior LobeTuberGray Matter"
82,"Left CerebellumPosterior LobePyramis of VermisGray Matter"
83,"Right CerebellumPosterior LobePyramis of VermisGray Matter"
84,"Left CerebellumAnterior LobeNoduleGray Matter"
85,"Left CerebellumAnterior LobeGray Matter"
86,"Right CerebellumAnterior LobeNoduleGray Matter"
87,"Right CerebellumAnterior LobeGray Matter"
88,"Left CerebellumAnterior LobeCulmenGray Matter"
89,"Right CerebellumAnterior LobeCulmenGray Matter"
90,"Temporal Lobe"
91,"Temporal LobeInferior Temporal Gyrus"
92,"Right CerebrumLimbic LobeInferior Temporal Gyrus"
93,"Left CerebrumLimbic LobeInferior Temporal Gyrus"
94,"Left CerebrumLimbic LobeUncusGray MatterBrodmann area 28"
95,"Right CerebrumLimbic LobeUncusGray MatterBrodmann area 28"
96,"Left CerebrumLimbic LobeSub-GyralWhite Matter"
97,"Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 21"
98,"Left CerebrumInferior Temporal Gyrus"
99,"Left CerebrumMiddle Temporal Gyrus"
100,"Left CerebrumSuperior Temporal Gyrus"
101,"Left CerebrumSuperior Temporal GyrusGray MatterBrodmann area 38"
102,"Left CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 11"
103,"Right CerebrumOrbital GyrusGray MatterBrodmann area 11"
104,"Frontal LobeOrbital Gyrus"
105,"Left CerebrumFrontal LobeOrbital Gyrus"
106,"Left CerebrumFrontal Lobe"
107,"Inter-Hemispheric"
108,"Right CerebrumFrontal Lobe"
109,"Right CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 11"
110,"Right CerebrumFrontal LobeOrbital Gyrus"
111,"Orbital Gyrus"
112,"Left CerebrumFrontal LobeOrbital GyrusWhite Matter"
113,"Right CerebrumFrontal LobeOrbital GyrusWhite Matter"
114,"Left CerebellumPosterior LobeTuber of VermisGray Matter"
115,"Right CerebellumPosterior LobeTuber of VermisGray Matter"
116,"Left CerebellumAnterior LobePyramisGray Matter"
117,"Right CerebellumAnterior LobePyramisGray Matter"
118,"Right CerebellumAnterior LobeGray MatterDentate"
119,"Left CerebellumAnterior LobeGray MatterDentate"
120,"Left CerebellumPosterior LobeCulmenGray Matter"
121,"Left CerebrumTemporal LobeFusiform Gyrus"
122,"Right CerebrumTemporal LobeFusiform Gyrus"
123,"Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 20"
124,"Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 20"
125,"Left CerebrumLimbic LobeParahippocampal Gyrus"
126,"Limbic LobeParahippocampal Gyrus"
127,"Right CerebrumLimbic LobeParahippocampal Gyrus"
128,"Left CerebrumTemporal LobeFusiform GyrusWhite Matter"
129,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 36"
130,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 36"
131,"Right CerebrumTemporal LobeFusiform GyrusWhite Matter"
132,"Right CerebrumLimbic LobeFusiform Gyrus"
133,"Left CerebrumLimbic LobeParahippocampal GyrusWhite Matter"
134,"Right CerebrumLimbic LobeParahippocampal GyrusWhite Matter"
135,"Right CerebrumLimbic LobeFusiform GyrusGray MatterBrodmann area 20"
136,"Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 36"
137,"Left CerebrumLimbic LobeFusiform GyrusWhite Matter"
138,"Right CerebrumLimbic LobeFusiform GyrusWhite Matter"
139,"Fusiform Gyrus"
140,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 35"
141,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 35"
142,"Left CerebrumFrontal LobeRectal GyrusGray MatterBrodmann area 11"
143,"Left CerebrumFrontal LobeRectal Gyrus"
144,"Right CerebrumFrontal LobeRectal Gyrus"
145,"Right CerebrumFrontal LobeRectal GyrusGray MatterBrodmann area 11"
146,"Left CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 47"
147,"Right CerebrumFrontal LobeOrbital GyrusGray MatterBrodmann area 47"
148,"Left CerebrumFrontal LobeRectal GyrusWhite Matter"
149,"Right CerebrumFrontal LobeRectal GyrusWhite Matter"
150,"Inter-HemisphericRectal Gyrus"
151,"Left CerebrumFrontal LobeSuperior Frontal Gyrus"
152,"Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 11"
153,"Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 11"
154,"Right CerebrumFrontal LobeSuperior Frontal Gyrus"
155,"Left CerebrumFrontal LobeSuperior Frontal GyrusWhite Matter"
156,"Right CerebrumFrontal LobeSuperior Frontal GyrusWhite Matter"
157,"Left CerebellumPosterior LobeDecliveGray Matter"
158,"Right CerebellumPosterior LobeDecliveGray Matter"
159,"Left CerebellumPosterior LobeDeclive of VermisGray Matter"
160,"Right CerebellumPosterior LobeDeclive of VermisGray Matter"
161,"Left CerebellumPosterior LobeGray MatterDentate"
162,"Left CerebellumPosterior LobeFastigiumGray Matter"
163,"Right CerebellumAnterior LobeFastigiumGray Matter"
164,"Right CerebellumPosterior LobeGray MatterDentate"
165,"Left CerebellumAnterior LobeFastigiumGray Matter"
166,"Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 36"
167,"Right CerebrumFusiform GyrusGray MatterBrodmann area 20"
168,"Temporal LobeFusiform Gyrus"
169,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 28"
170,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 28"
171,"Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 20"
172,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 20"
173,"Left CerebrumSub-lobarLateral VentricleCerebro-Spinal Fluid"
174,"Right CerebrumSub-lobarLateral VentricleCerebro-Spinal Fluid"
175,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterHippocampus"
176,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterHippocampus"
177,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 34"
178,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 34"
179,"Left CerebrumLimbic LobeUncusGray MatterBrodmann area 34"
180,"Right CerebrumLimbic LobeUncusGray MatterBrodmann area 34"
181,"Left CerebrumLimbic LobeUncusGray MatterAmygdala"
182,"Right CerebrumLimbic LobeUncusGray MatterAmygdala"
183,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterAmygdala"
184,"Inferior Frontal Gyrus"
185,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 47"
186,"Left CerebrumFrontal LobeInferior Frontal Gyrus"
187,"Right CerebrumFrontal LobeInferior Frontal Gyrus"
188,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 47"
189,"Left CerebrumFrontal LobeInferior Frontal GyrusWhite Matter"
190,"Right CerebrumFrontal LobeInferior Frontal GyrusWhite Matter"
191,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 11"
192,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 11"
193,"Left CerebrumFrontal LobeSub-GyralWhite Matter"
194,"Right CerebrumFrontal LobeSub-GyralWhite Matter"
195,"Left CerebrumFrontal LobeMiddle Frontal GyrusWhite Matter"
196,"Right CerebrumFrontal LobeMiddle Frontal GyrusWhite Matter"
197,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 11"
198,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 11"
199,"Right CerebrumFrontal LobeMiddle Frontal Gyrus"
200,"Right CerebrumOrbital Gyrus"
201,"Right CerebrumSuperior Frontal Gyrus"
202,"Left CerebrumOccipital LobeFusiform Gyrus"
203,"Left CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 18"
204,"Right CerebrumOccipital LobeFusiform Gyrus"
205,"Right CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 18"
206,"Left CerebrumOccipital LobeFusiform GyrusWhite Matter"
207,"Right CerebrumOccipital LobeFusiform GyrusWhite Matter"
208,"Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 37"
209,"Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 37"
210,"Right CerebrumFusiform Gyrus"
211,"Left CerebellumAnterior LobeCerebellar LingualGray Matter"
212,"Right CerebellumAnterior LobeCerebellar LingualGray Matter"
213,"Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 37"
214,"Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 37"
215,"Left BrainstemMidbrain"
216,"Right BrainstemMidbrain"
217,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 20"
218,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 20"
219,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterAmygdala"
220,"White Matter"
221,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 38"
222,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 38"
223,"Left CerebrumFrontal LobeMedial Frontal Gyrus"
224,"Right CerebrumFrontal LobeMedial Frontal Gyrus"
225,"Left CerebrumFrontal LobeSuperior Temporal Gyrus"
226,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 25"
227,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 25"
228,"Right CerebrumFrontal LobeSuperior Temporal Gyrus"
229,"Right CerebrumTemporal LobeInferior Frontal Gyrus"
230,"Left CerebrumFrontal LobeMedial Frontal GyrusWhite Matter"
231,"Right CerebrumFrontal LobeMedial Frontal GyrusWhite Matter"
232,"Left CerebrumTemporal LobeInferior Frontal Gyrus"
233,"Left CerebrumFrontal LobeMiddle Frontal Gyrus"
234,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 25"
235,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 11"
236,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 11"
237,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 25"
238,"Left CerebrumOccipital LobeLingual Gyrus"
239,"Lingual Gyrus"
240,"Occipital Lobe"
241,"Occipital LobeLingual Gyrus"
242,"Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 17"
243,"Inter-HemisphericOccipital LobeLingual Gyrus"
244,"Right CerebrumOccipital LobeLingual Gyrus"
245,"Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 17"
246,"Left CerebrumOccipital Lobe"
247,"Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 18"
248,"Right CerebrumOccipital Lobe"
249,"Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 18"
250,"Left CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 18"
251,"Left CerebrumOccipital LobeInferior Occipital Gyrus"
252,"Left CerebrumOccipital LobeLingual GyrusWhite Matter"
253,"Right CerebrumOccipital LobeLingual GyrusWhite Matter"
254,"Right CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 18"
255,"Left CerebrumOccipital LobeInferior Occipital GyrusWhite Matter"
256,"Right CerebrumOccipital LobeInferior Occipital GyrusWhite Matter"
257,"Right CerebrumOccipital LobeInferior Occipital Gyrus"
258,"Left CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 19"
259,"Right CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 19"
260,"Inferior Occipital Gyrus"
261,"Left CerebrumInferior Occipital Gyrus"
262,"Right CerebrumInferior Occipital Gyrus"
263,"Right CerebrumOccipital LobeGray MatterBrodmann area 19"
264,"Left CerebrumOccipital LobeGray MatterBrodmann area 19"
265,"Left CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 19"
266,"Right CerebrumTemporal LobeFusiform GyrusGray MatterBrodmann area 19"
267,"Left CerebrumTemporal LobeGray MatterBrodmann area 37"
268,"Right CerebrumTemporal LobeGray MatterBrodmann area 37"
269,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 37"
270,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 37"
271,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 37"
272,"Right CerebrumLimbic LobeGray MatterBrodmann area 35"
273,"White MatterOptic Tract"
274,"Gray MatterHypothalamus"
275,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 21"
276,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 21"
277,"Left CerebrumFrontal LobeSubcallosal Gyrus"
278,"Right CerebrumFrontal LobeSubcallosal Gyrus"
279,"Left CerebrumLimbic LobeSubcallosal GyrusGray MatterBrodmann area 34"
280,"Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 34"
281,"Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 25"
282,"Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 25"
283,"Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 34"
284,"Right CerebrumLimbic LobeSubcallosal Gyrus"
285,"Right CerebrumLimbic LobeSubcallosal GyrusGray MatterBrodmann area 34"
286,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 21"
287,"Left CerebrumTemporal LobeSubcallosal GyrusGray MatterBrodmann area 34"
288,"Left CerebrumTemporal LobeInferior Frontal GyrusGray MatterBrodmann area 13"
289,"Left CerebrumTemporal LobeInferior Frontal GyrusWhite Matter"
290,"Left CerebrumFrontal LobeSubcallosal GyrusWhite Matter"
291,"Right CerebrumFrontal LobeSubcallosal GyrusWhite Matter"
292,"Right CerebrumTemporal LobeInferior Frontal GyrusGray MatterBrodmann area 13"
293,"Right CerebrumTemporal LobeInferior Frontal GyrusWhite Matter"
294,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 13"
295,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 13"
296,"Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 13"
297,"Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 13"
298,"Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 47"
299,"Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 47"
300,"Left CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 11"
301,"Right CerebrumFrontal LobeSubcallosal GyrusGray MatterBrodmann area 11"
302,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 47"
303,"Left CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 17"
304,"Right CerebrumGray MatterBrodmann area 18"
305,"Right CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 17"
306,"Left CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 18"
307,"Right CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 18"
308,"Left CerebrumOccipital LobeMiddle Occipital GyrusWhite Matter"
309,"Right CerebrumOccipital LobeMiddle Occipital GyrusWhite Matter"
310,"Left CerebrumOccipital LobeMiddle Occipital Gyrus"
311,"Right CerebrumOccipital LobeMiddle Occipital Gyrus"
312,"Left CerebrumOccipital LobeSub-Gyral"
313,"Right CerebrumSub-Gyral"
314,"Right CerebrumOccipital LobeSub-Gyral"
315,"Left CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 19"
316,"Right CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 19"
317,"Middle Occipital Gyrus"
318,"Right CerebrumLingual Gyrus"
319,"Left CerebrumOccipital LobeSub-GyralWhite Matter"
320,"Right CerebrumOccipital LobeSub-GyralWhite Matter"
321,"Left CerebellumAnterior LobeCulmen of VermisGray Matter"
322,"Right CerebellumAnterior LobeCulmen of VermisGray Matter"
323,"Left CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 37"
324,"Right CerebrumOccipital LobeMiddle Occipital GyrusGray MatterBrodmann area 37"
325,"Right CerebrumOccipital LobeInferior Temporal Gyrus"
326,"Left CerebrumOccipital LobeInferior Temporal GyrusWhite Matter"
327,"Right CerebrumOccipital LobeInferior Temporal GyrusWhite Matter"
328,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 37"
329,"Left CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 37"
330,"Right CerebrumOccipital LobeFusiform GyrusGray MatterBrodmann area 37"
331,"Right CerebrumOccipital LobeParahippocampal GyrusGray MatterBrodmann area 37"
332,"Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 37"
333,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 37"
334,"Right CerebrumLimbic LobeFusiform GyrusGray MatterBrodmann area 37"
335,"Right CerebrumLimbic LobeSub-Gyral"
336,"Left CerebrumLimbic LobeSub-Gyral"
337,"Left CerebrumTemporal LobeSub-GyralGray MatterHippocampus"
338,"Right CerebrumTemporal LobeSub-GyralGray MatterHippocampus"
339,"Left CerebrumLimbic LobeSub-GyralGray MatterHippocampus"
340,"Right CerebrumLimbic LobeSub-GyralGray MatterHippocampus"
341,"Left BrainstemMidbrainGray MatterSubstania Nigra"
342,"Right BrainstemMidbrainGray MatterSubstania Nigra"
343,"Left BrainstemMidbrainGray MatterRed Nucleus"
344,"Right BrainstemMidbrainGray MatterRed Nucleus"
345,"Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 28"
346,"Right CerebrumLimbic LobeWhite Matter"
347,"Left CerebrumSub-lobarExtra-NuclearWhite Matter"
348,"Right CerebrumSub-lobarExtra-NuclearWhite Matter"
349,"Left CerebrumTemporal LobeGray MatterCaudate Tail"
350,"Right CerebrumTemporal LobeCaudateGray MatterCaudate Tail"
351,"Left CerebrumTemporal LobeCaudateGray MatterCaudate Tail"
352,"Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 21"
353,"Left CerebrumTemporal LobeExtra-NuclearWhite Matter"
354,"Left BrainstemMidbrainGray MatterMammillary Body"
355,"Right BrainstemMidbrainGray MatterMammillary Body"
356,"Left CerebrumSub-lobarGray MatterAmygdala"
357,"Right CerebrumWhite Matter"
358,"Right CerebrumSub-lobarGray MatterAmygdala"
359,"Left CerebrumSub-lobarExtra-NuclearWhite MatterOptic Tract"
360,"Right CerebrumSub-lobarThird VentricleCerebro-Spinal Fluid"
361,"Right CerebrumSub-lobarExtra-NuclearWhite MatterOptic Tract"
362,"Left CerebrumSub-lobarThird VentricleCerebro-Spinal Fluid"
363,"Left CerebrumSub-lobarGray MatterHypothalamus"
364,"Right CerebrumSub-lobarGray MatterHypothalamus"
365,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 13"
366,"Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 13"
367,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 13"
368,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 13"
369,"Left CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 13"
370,"Left CerebrumLimbic LobeExtra-NuclearWhite Matter"
371,"Left CerebrumLimbic LobeAnterior CingulateWhite Matter"
372,"Left CerebrumLimbic LobeAnterior Cingulate"
373,"Right CerebrumLimbic LobeAnterior Cingulate"
374,"Right CerebrumLimbic LobeAnterior CingulateWhite Matter"
375,"Right CerebrumLimbic LobeExtra-NuclearWhite Matter"
376,"Right CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 13"
377,"Left CerebrumTemporal LobeSub-Gyral"
378,"Left CerebrumSub-lobarExtra-Nuclear"
379,"Left CerebrumSub-lobarLentiform NucleusGray MatterPutamen"
380,"Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 25"
381,"Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 25"
382,"Right CerebrumSub-lobarLentiform NucleusGray MatterPutamen"
383,"Right CerebrumSub-lobarExtra-Nuclear"
384,"Right CerebrumTemporal LobeSub-Gyral"
385,"Left CerebrumSub-lobarGray Matter"
386,"Right CerebrumSub-lobarGray Matter"
387,"Temporal LobeSuperior Temporal Gyrus"
388,"Left CerebrumFrontal LobeSub-Gyral"
389,"Right CerebrumFrontal LobeSub-Gyral"
390,"Left CerebrumFrontal LobeExtra-Nuclear"
391,"Right CerebrumFrontal LobeExtra-Nuclear"
392,"Left CerebrumFrontal LobeExtra-NuclearGray MatterBrodmann area 47"
393,"Right CerebrumFrontal LobeExtra-NuclearGray MatterBrodmann area 47"
394,"Left CerebrumFrontal-Temporal Space"
395,"Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 32"
396,"Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 32"
397,"Right CerebrumFrontal-Temporal Space"
398,"Left CerebrumFrontal-Temporal SpaceInferior Frontal Gyrus"
399,"Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 47"
400,"Left CerebrumFrontal LobeExtra-NuclearGray MatterBrodmann area 13"
401,"Right CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 47"
402,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 47"
403,"Left CerebrumFrontal LobeExtra-NuclearWhite Matter"
404,"Right CerebrumFrontal LobeExtra-NuclearWhite Matter"
405,"Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 10"
406,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 10"
407,"Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 10"
408,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 10"
409,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 47"
410,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 10"
411,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 10"
412,"Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 10"
413,"Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 10"
414,"Left CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 19"
415,"Right CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 19"
416,"Sub-Gyral"
417,"Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 19"
418,"Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 19"
419,"Left CerebrumOccipital LobeInferior Temporal Gyrus"
